S,Feedback,Sentiment
455,Not good when wearing a hat or sunglasses.,0
807,The reception through this headset is excellent.,1
796,"Five star Plus, plus.",1
380,Great Hands Free Device.,1
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
813,The Jabra EarGels fit my ears very well.,1
503,I would have given no star if I was able.,0
792,Great Phone.,1
191,Any ring tone..Overall good phone to buy..,1
507,The holster that arrived did not match the photo in the ad.,0
443,Restored my phone to like new performance.,1
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
32,It is unusable in a moving car at freeway speed.,0
725,I have always used corded headsets and the freedom from the wireless is very helpful.,1
302,Someone shouldve invented this sooner.,1
834,"However, the ear pads come off easily and after only one week I lost one.",0
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
51,good protection and does not make phone too bulky.,1
365,awesome device.,1
691,Clear crisp sound.,1
125,Great audio!.,1
531,They refuse to refund or replace.,0
530,Keep up the good work Amazon!!,1
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
367,"I had ordered a motorola data cable, got a very well finished and working product.",1
194,Not impressed.,0
76,Do Not Buy for D807...wrongly advertised for D807.,0
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
277,Very good phone.,1
750,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
898,Everything about this product is wrong.First,0
240,Big Disappointment with calendar sync.,0
904,Problem is that the ear loops are made of weak material and break easily.,0
456,Timely shipment and quality product.,1
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
111,This phone is slim and light and the display is beautiful.,1
565,Disapointing Results.,0
265,Battery life is real good.,1
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
777,WORTHWHILE.,1
319,I love this device.,1
416,An Awesome New Look For Fall 2000!.,1
786,They work about 2 weeks then break.,0
437,Awsome Device Works Great!!.,1
597,A pretty good product.,1
180,Don't buy this product.,0
885,"When it opens, the battery connection is broken and the device is turned off.",0
412,Jawbone Era is awesome too!,1
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
21,I bought this to use with my Kindle Fire and absolutely loved it!,1
957,Love it.. Great armband.,1
46,Who in their right mind is gonna buy this battery?.,0
961,I was very impressed with the price of the cases.,1
552,Its a total package.,1
488,"Then I exchanged for the same phone, even that had the same problem.",0
85,The headsets are easy to use and everyone loves them.,1
674,Then I had to continue pairing it periodically since it somehow kept dropping.,0
497,Save your money.... I've had this item for 11 months now.,0
892,Excellent product for the price.,1
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
969,I'm trying to return it for a refund.,0
286,I wouldn't recommend buying this product.,0
472,Disappointment.. I hate anything that goes in my ear.,0
81,Not a good bargain.,0
18,Works great!.,1
673,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
133,!I definitly recommend!!,1
320,I am also very happy with the price.,1
780,I am sorry I made this purchase.,0
484,I love this phone!.,1
569,It's A PIECE OF CRAP!,0
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
571,This fixes all the problems.,1
707,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
318,I want my money back.,0
122,Iam very pleased with my purchase.,1
686,The instructions didn't explain that a microphone jack could be used.,0
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
882,The only good thing was that it fits comfortably on small ears.,1
526,"horrible, had to switch 3 times.",0
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0
42,Nice headset priced right.,1
209,We are sending it back.,0
395,Better than you'd expect.,1
644,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0
931,This pair of headphones is the worst that I have ever had sound-wise.,0
354,Excellent starter wireless headset.,0
291,Don't buy it.,0
866,It's been my choice headset for years.Great sound.  good volume.  good noise cancellation.,1
139,Voice recognition is tremendous!,1
844,It's not what it says it is.,0
650,Battery is terrible.,0
748,Does not fit.,0
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
738,The design is very good.4.,1
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
988,"It didn't work, people can not hear me when I talk.",0
11,He was very impressed when going from the original battery to the extended battery.,1
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
998,The only thing that disappoint me is the infra red port (irda).,0
588,"I only used it two days, and it wasn't always easy to hear with.",0
276,I wasted my little money with this earpiece.,0
430,Fantastic earphones.,1
547,Trying to make a call on these is an exercise in frustration.,0
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
592,THey are so cool!,1
425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
708,I bought this phone as a replacement for my StarTac and have regretted it since.,0
910,"Good show, Samsung.",1
407,Works great.,1
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
280,"Good product, good seller.",1
263,Absolutel junk.,0
266,Returned 8 hours later.,0
924,Works good.,1
768,Great product.,1
587,Also difficult to put on.I'd recommend avoiding this product.,0
925,Motorola finally got the voice quality of a bluetooth headset right.,1
534,Great case and price!,1
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
436,I wish I could return the unit and get back my money.,0
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
688,Too bad you have to pay up to $$$ a month for the service!,0
474,The delivery was on time.,1
769,Crisp and Clear.,1
258,Excellent hands free tool.,1
831,All three broke within two months of use.,0
84,"This item worked great, but it broke after 6 months of use.",0
919,"Saggy, floppy piece of junk.",0
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1
654,"The charger arrived within the promised timeframe, but it did not work.",0
92,Worked great!.,1
525,REALLY UGLY.,0
845,Stay Away From the Q!.,0
373,The worst phone I've ever had.... Only had it for a few months.,0
903,I love being able to use one headset for both by land-line and cell.,1
977,":-)Oh, the charger seems to work fine.",1
776,I highly recommend this case.,1
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
596,Piece of trash.,0
815,I checked everywhere and there is no feature for it which is really disappointing.,0
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
843,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0
239,Do not make the same mistake as me.,0
715,The phone crashed completely and now I have to get it replaced.,0
264,THAT one didn't work either.,0
299,Battery life still not long enough in Motorola Razor V3i.,0
846,Used and dirty.,0
855,Just does not work.,0
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
86,This phone works great.,1
123,Bad Quality.,0
275,Reversible plug works great.,1
862,So far it has worked like a charm.,1
814,Battery has no life.,0
368,Love This Phone.,1
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1
460,BT50 battery junk!.,0
992,Lasted one day and then blew up.,0
389,The company shipped my product very promptly and it works well.,1
942,"The mic there is a joke, and the volume is quite low.",0
290,Great Phone.,1
281,I love this bluetooth!,1
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
219,I'm still infatuated with this phone.,1
915,So I had to take the battery out of the phone put it all back together and then restart it.,0
515,Mobile Phone Tools are a must have.,1
13,Very good quality though,1
433,I highly recommend this modest priced cellular phone.,1
300,Sending it back.,0
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
594,Better Than New.,1
603,I am more than happy with this product.,1
151,"Audio Quality is poor, very poor.",0
619,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
271,Worked perfectly!,1
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
451,Portable and it works.,1
765,in addition it feels and  looks as if the phone is all lightweight cheap plastic.,0
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
816,Product is exactly as described.,1
995,The screen does get smudged easily because it touches your ear and face.,0
598,This is a great phone!.,1
197,Bad Choice.,0
781,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0
695,Do NOT buy if you want to use the holster.,0
723,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
156,"Nice quality build, unlike some cheap s*** out there.",1
697,It doesn't make you look cool.,0
284,I got it because it was so small and adorable.,1
950,It is a joy to use.,1
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
124,Gets the job done.,1
749,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
933,Does not charge the Cingular (ATT) 8525 phone.,0
36,It has kept up very well.,1
554,I give Wirefly 1 star.I will contact Cingular/AT&T;  and inform them of this practice,0
390,Exactly what I wanted.,1
148,Items stated as included from the description ARE NOT INCLUDED.,0
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1
721,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
329,Rip off---- Over charge shipping.,0
820,Plan on ordering from them again and again.,1
655,"No ear loop needed, it's tiny and the sound is great.",1
685,Easy to pair with my Samsung Cell.,1
408,Plantronics Bluetooth Excelent Buy.,1
232,Don't waste your $$$ on this one.,0
376,Protects the phone on all sides.,1
100,Integrated seamlessly with the Motorola RAZR phone.,1
850,It looks very nice.,1
662,I love the look and feel of Samsung flipphones.,1
720,"Good value, works fine - power via USB, car, or wall outlet.",1
172,How can that be?The audio quality is poor.,0
483,You won't regret it!,1
784,I don't think it would hold it too securly on your belt.,0
830,Unfortunately it did not work.,0
742,It dit not work most of the time with my Nokia 5320.,0
982,don't waste your money.,0
198,The pleather case doesn't fit.,0
794,"The internet access was fine, it the rare instance that it worked.",0
703,lightweight and works well.,1
568,Great Product.,1
604,Poor Construction.,0
381,"you can even take self portraits with the outside (exterior) display, very cool.",1
353,Their network coverage in Los Angeles is horrible.,0
665,I could not recommend these more.,0
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
540,I am glad I purchased it.,1
118,It has been a winner for us.,1
23,I have yet to run this new battery below two bars and that's three days without charging.,1
519,I am not impressed with this and i would not recommend this item to anyone.,0
965,I cannot make calls at certain places.,0
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
857,(It works!),1
819,I would recommend it.,1
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
170,EXCELLENT SERVICE!!!!!!!!.,1
764,wont work right or atleast for me.,0
658,Talk about USELESS customer service.,0
696,The phone can also take great pictures and even video clips.,1
502,Defective crap.,0
747,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
305,I received it quickly and it works great!!,1
89,The phone loads super!,1
27,I didn't think that the instructions provided were helpful to me.,0
836,"Horrible, horrible protector.",0
162,This is essentially a communications tool that does not communicate.,0
410,I'll be looking for a new earpiece.,0
635,im surprised this is a good quality car charger and there's not much reviews about it.,1
744,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
645,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
646,Phone is sturdy as all nokia bar phones are.,1
561,Please dont waste your money.,0
313,Phone now holds charge like it did when it was new.,1
551,Thank you for such great service.,1
99,I'm very disappointed with my decision.,0
620,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0
640,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
336,Obviously there is a problem with the adhesive.,0
510,This frog phone charm is adorable and very eye catching.,1
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
863,"I have only had it for a few weeks, but so far, so good.",1
994,Kind of flops around.,0
773,The reception has been generally good.,1
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
763,This particular model would not work with my Motorola Q smartphone.,0
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
990,I'm really disappointed all I have now is a charger that doesn't work.,0
690,The nokia CA-42 USB cable did not work with my phone.,0
633,You get what you pay for I guess.,0
518,The phone is sturdy and waterproof.,1
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
449,There's really nothing bad I can say about this headset.,0
912,It always cuts out and makes a beep beep beep sound then says signal failed.,0
574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
245,Worth every penny.,1
29,Doesn't hold charge.,0
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
543,Don't buy this product.,0
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
967,Beautiful styling though.,1
493,I had Verizon 2 years ago and really liked their service.,1
205,"great headset, very impressed - H500.",1
577,That company is a joke.,0
344,Worst customer service.,0
621,DO NOT BUY DO NOT BUYIT SUCKS,0
927,"but it is great, i would really recommend it",1
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1
255,poor quality and service.,0
405,I especially love the long battery life.,1
471,The update procedure is difficult and cumbersome.,0
706,So anyone near you will hear part of your conversation.,0
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
250,"It's fits like a glove and is strong, secure, and durable.",1
896,Great phone.,1
973,Lousy product.,0
447,Very happy with this product.,1
235,One of my favorite purchases ever.,1
913,Couldn't figure it out,0
741,"Couldn't use the unit with sunglasses, not good in Texas!",0
469,"Looks great and is strong.""",1
679,The volume for the ringer is REAL good (you have choices how loud).,1
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
321,I ordered this product first and was unhappy with it immediately.,0
54,I love this thing!,1
388,It worked very well.,1
114,Absolutely great.,1
231,What a big waste of time.,0
97,I found this product to be waaay too big.,0
464,poor voice clarity.,0
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
670,its extremely slow and takes forever to do anything with it.,0
801,For the price this was a great deal.,1
684,Chinese Forgeries Abound!.,0
809,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
9,What a waste of money and time!.,0
297,This one works and was priced right.,1
1,"Good case, Excellent value.",1
771,"VERY cheap plastic, creaks like an old wooden floor.",0
357,"First off the reception sucks, I have never had more than 2 bars, ever.",0
793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
7,If you are Razr owner...you must have this!,1
182,The sound quality is good and functionality is awesome.,1
498,Bad Purchase.,0
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
363,"bad fit, way too big.",0
868,The item received was Counterfeit.,0
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
522,I ended up sliding it on the edge of my pants or back pockets instead.,1
279,Comfort for our whole family.,1
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
326,"However-the riingtones are not the best, and neither are the games.",0
754,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
128,"I've only had my bluetooth for a few weeks, but I really like it.",1
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
467,Very disappointed in AccessoryOne.,0
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
797,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
307,"As many people complained, I found this headset's microphone was very weak.",0
818,Doesn't do the job.,0
199,"useless phone, simply deaf.",0
873,My sister has one also and she loves it.,1
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
457,Nice solid keyboard.,1
248,Internet is excrutiatingly slow.,0
894,This product is very High quality Chinese CRAP!!!!!!,0
301,Now I know that I made a wise decision.,1
66,"A week later after I activated it, it suddenly died.",0
238,I was very excited to get this headset because I thought it was really cute.,1
573,I am very happy,1
322,The Ngage is still lacking in earbuds.,0
553,"The seller is very understanding and patient, I would definitely buy from them again.",1
544,"sucked, most of the stuff does not work with my phone.",0
273,I gave it 5 stars because of the sound quality.,1
69,This device is great in several situations:1.),1
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
252,It's very attractive and appears to be of good quality.,1
714,Not worth it.,0
736,Krussel Always good.,1
810,Improper description.... I had to return it.,0
212,Great price also!,1
778,This is a great deal.,1
943,I'm returning them.,0
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
758,The sound quality is excellent as well.,1
687,i would advise to not purchase this item it never worked very well.,0
347,Good audio quality.,1
178,It only recognizes the Phone as its storage device.,0
575,"I can barely ever hear on it and am constantly saying ""what?""",0
218,WORST PHONE EVER.,0
435,Warning - Stay away.,0
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
759,Its the best headset I have used.,1
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1
733,Arrived quickly and much less expensive than others being sold.,1
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
623,"Plus, I seriously do not believe it is worth its steep price point.",0
311,The instruction manual is lacking.,0
939,"I like the fact that it rests lightly against your ear, rather than inside.",1
578,It does everything the description said it would.,1
496,Works as described.,1
852,I have read other's reviews here but I haven't had any problem with it.,1
627,This phone might well be the worst I've ever had in any brand.,0
351,Works like a charm.. Works as advertised.,1
617,However I needed some better instructions.,0
259,Great for using with your home stereo.,1
582,"Voice Quality, Signal Strength, Dropped Calls.",0
387,The best phone in market :).,1
143,very disappointed.,0
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
980,Echo Problem....Very unsatisfactory,0
414,After a year the battery went completely dead on my headset.,0
485,A Disappointment.,0
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
595,"What possesed me to get this junk, I have no idea...",0
202,It makes very strange ticking noises before it ends the call.,0
285,Great phone!.,1
876,Excellent dual-purpose headset.,1
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
639,Disappointing accessory from a good manufacturer.,0
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
599,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
323,I was able to do voice dialing in the car with no problem.,1
762,Just what I wanted.,1
171,Thank you for wasting my money.,0
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
135,The majority of the Logitech earbud headsets failed.,0
